Name,ATT,MID,DEF,OVR,Year
Denmark,74,76,75,76,2016
Sweden,78,73,74,75,2016
Ireland,76,74,75,75,2016
Czech Republic,74,72,74,75,2016
Austria,72,75,75,75,2016
Scotland,76,74,72,74,2016
Wales,74,74,73,74,2016
United States,73,74,72,74,2016
Paraguay,73,72,74,73,2016
Norway,70,72,71,73,2016
Cameroon,70,69,78,73,2016
Ecuador,74,75,69,72,2016
Australia,72,71,68,72,2016
Romania,71,71,70,72,2016
Slovenia,70,73,72,72,2016
Venezuela,72,71,68,71,2016
Hungary,71,69,68,71,2016
South Africa,67,71,72,71,2016
Finland,65,71,67,71,2016
Peru,73,69,70,70,2016
Northern Ireland,67,68,69,70,2016
Bulgaria,69,70,68,69,2016
Egypt,69,69,66,69,2016
China PR,69,67,65,69,2016
Canada,67,71,65,67,2016
New Zealand,67,64,66,66,2016
Bolivia,63,65,65,65,2016
India,61,56,57,58,2016
Spain,82,85,84,84,2016
Brazil,83,81,83,83,2016
Germany,78,84,80,83,2016
Argentina,88,81,78,82,2016
France,82,82,81,82,2016
Portugal,85,79,79,81,2016
Belgium,82,82,78,81,2016
England,82,79,80,81,2016
Italy,79,79,80,80,2016
Netherlands,81,77,77,79,2016
Russia,79,77,77,78,2016
Switzerland,78,76,77,78,2016
Chile,80,76,75,77,2016
Poland,79,76,73,77,2016
Uruguay,79,73,74,77,2016
Turkey,77,78,76,77,2016
Colombia,77,77,74,77,2016
Côte d'Ivoire,78,77,71,76,2016
Mexico,77,74,76,76,2016
Greece,75,70,76,76,2016
Denmark,74,76,75,76,2016
Sweden,78,73,73,75,2016
Ireland,76,74,75,75,2016
Czech Republic,74,72,74,75,2016
Austria,72,75,75,75,2016
Scotland,76,74,72,74,2016
Wales,74,74,73,74,2016
United States,73,74,72,74,2016
Paraguay,73,72,71,73,2016
Cameroon,70,69,77,73,2016
Norway,69,72,71,73,2016
Ecuador,73,72,69,72,2016
Romania,71,71,70,72,2016
Australia,71,71,68,72,2016
Slovenia,70,73,72,72,2016
Venezuela,73,70,67,71,2016
Hungary,71,69,68,71,2016
South Africa,67,71,72,71,2016
Finland,66,71,67,71,2016
Peru,73,69,70,70,2016
Northern Ireland,67,68,69,70,2016
Bulgaria,69,70,68,69,2016
Egypt,69,69,67,69,2016
China PR,69,67,67,69,2016
Canada,66,70,64,67,2016
New Zealand,67,64,66,66,2016
Bolivia,63,64,65,65,2016
India,61,56,57,58,2016
Spain,82,85,84,84,2016
Brazil,83,81,83,83,2016
Germany,78,84,80,83,2016
Argentina,88,81,78,82,2016
France,82,82,81,82,2016
Portugal,85,79,79,81,2016
Belgium,82,82,78,81,2016
England,82,79,80,81,2016
Italy,79,79,80,80,2016
Netherlands,81,77,77,79,2016
Russia,78,77,77,78,2016
Switzerland,78,76,77,78,2016
Chile,80,76,75,77,2016
Poland,79,76,73,77,2016
Uruguay,79,73,74,77,2016
Turkey,77,78,76,77,2016
Colombia,77,77,74,77,2016
Côte d'Ivoire,78,77,71,76,2016
Mexico,77,74,76,76,2016
Greece,76,70,76,76,2016
Denmark,74,76,75,76,2016
Sweden,78,73,73,75,2016
Ireland,76,74,75,75,2016
United States,73,76,73,75,2016
Czech Republic,73,73,73,75,2016
Austria,72,76,75,75,2016
Scotland,76,74,72,74,2016
Wales,74,74,73,74,2016
Paraguay,73,72,71,73,2016
Norway,69,72,71,73,2016
Cameroon,69,69,77,73,2016
Ecuador,73,72,69,72,2016
Romania,71,71,70,72,2016
Australia,71,71,68,72,2016
Slovenia,70,73,72,72,2016
Hungary,71,69,68,71,2016
South Africa,67,71,72,71,2016
Finland,66,71,67,71,2016
Venezuela,73,70,67,70,2016
Peru,73,69,70,70,2016
Northern Ireland,67,68,69,70,2016
Bulgaria,69,70,68,69,2016
Egypt,69,69,67,69,2016
China PR,69,67,67,69,2016
Canada,66,70,64,67,2016
New Zealand,67,64,66,66,2016
Bolivia,63,64,65,65,2016
India,61,56,57,58,2016
Spain,82,85,84,84,2016
Brazil,83,80,83,83,2016
Germany,78,84,80,83,2016
Argentina,88,81,78,82,2016
France,82,82,81,82,2016
Portugal,85,79,79,81,2016
Belgium,82,82,78,81,2016
England,82,79,80,81,2016
Italy,79,79,80,80,2016
Netherlands,81,77,77,79,2016
Russia,78,77,77,78,2016
Switzerland,78,76,77,78,2016
Chile,80,76,75,77,2016
Poland,79,76,73,77,2016
Uruguay,79,73,74,77,2016
Turkey,77,78,76,77,2016
Côte d'Ivoire,78,77,71,76,2016
Colombia,77,77,75,76,2016
Mexico,77,74,76,76,2016
Greece,76,70,76,76,2016
Denmark,74,76,75,76,2016
Sweden,78,73,73,75,2016
Ireland,76,74,75,75,2016
United States,73,76,74,75,2016
Czech Republic,73,73,73,75,2016
Austria,72,76,75,75,2016
Scotland,76,74,72,74,2016
Wales,74,74,73,74,2016
Paraguay,73,72,71,73,2016
Norway,69,72,71,73,2016
Cameroon,69,69,77,73,2016
Ecuador,73,72,69,72,2016
Romania,71,71,70,72,2016
Australia,71,71,69,72,2016
Slovenia,70,73,72,72,2016
Venezuela,73,70,67,71,2016
Hungary,72,69,68,71,2016
South Africa,67,71,72,71,2016
Finland,66,71,67,71,2016
Peru,73,69,70,70,2016
Northern Ireland,68,68,69,70,2016
Bulgaria,69,70,68,69,2016
Egypt,69,69,67,69,2016
China PR,69,67,67,69,2016
Canada,66,70,64,67,2016
New Zealand,67,64,66,66,2016
Bolivia,63,64,65,65,2016
India,61,56,57,58,2016
Spain,82,85,84,84,2016
Brazil,83,81,83,83,2016
Germany,78,84,80,83,2016
Argentina,88,81,78,82,2016
France,82,82,81,82,2016
Portugal,85,79,79,81,2016
Belgium,82,82,78,81,2016
England,82,79,80,81,2016
Italy,79,79,80,80,2016
Netherlands,81,77,77,79,2016
Russia,78,77,77,78,2016
Switzerland,78,76,77,78,2016
Chile,80,76,75,77,2016
Poland,79,76,73,77,2016
Uruguay,79,73,74,77,2016
Turkey,77,78,76,77,2016
Côte d'Ivoire,78,77,71,76,2016
Colombia,77,77,75,76,2016
Mexico,77,74,76,76,2016
Greece,76,70,76,76,2016
Denmark,74,76,75,76,2016
Sweden,80,73,73,75,2016
Ireland,76,74,75,75,2016
United States,73,76,74,75,2016
Austria,72,76,75,75,2016
Czech Republic,72,73,73,75,2016
Scotland,76,74,72,74,2016
Wales,74,74,73,74,2016
Paraguay,73,72,71,73,2016
Norway,70,72,71,73,2016
Cameroon,69,69,77,73,2016
Ecuador,73,72,69,72,2016
Australia,71,72,69,72,2016
Romania,71,71,70,72,2016
Slovenia,70,73,72,72,2016
Venezuela,73,70,67,71,2016
Hungary,72,69,68,71,2016
South Africa,67,71,72,71,2016
Finland,66,71,67,71,2016
Peru,73,69,70,70,2016
Northern Ireland,68,68,69,70,2016
Bulgaria,69,70,68,69,2016
Egypt,69,69,67,69,2016
China PR,69,67,67,69,2016
Canada,66,70,64,67,2016
New Zealand,67,64,66,66,2016
Bolivia,63,64,65,65,2016
India,61,56,57,58,2016
Spain,82,85,84,84,2016
Brazil,83,81,83,83,2016
Germany,78,84,80,83,2016
Argentina,88,81,78,82,2016
France,82,82,81,82,2016
Portugal,85,79,79,81,2016
Belgium,82,82,78,81,2016
England,82,79,80,81,2016
Italy,79,79,80,80,2016
Netherlands,82,78,77,79,2016
Russia,78,77,77,78,2016
Switzerland,78,76,77,78,2016
Turkey,77,78,76,78,2016
Chile,80,76,75,77,2016
Uruguay,80,73,74,77,2016
Poland,79,76,73,77,2016
Colombia,77,77,75,77,2016
Côte d'Ivoire,78,77,71,76,2016
Mexico,77,74,76,76,2016
Greece,76,70,76,76,2016
Denmark,74,77,75,76,2016
Sweden,80,73,73,75,2016
Ireland,76,74,75,75,2016
United States,73,76,73,75,2016
Austria,72,76,75,75,2016
Czech Republic,72,73,73,75,2016
Scotland,76,74,72,74,2016
Wales,74,74,73,74,2016
Paraguay,73,72,71,73,2016
Norway,70,72,71,73,2016
Cameroon,69,69,77,73,2016
Ecuador,73,72,69,72,2016
Australia,71,72,69,72,2016
Romania,71,71,70,72,2016
Slovenia,70,73,72,72,2016
Venezuela,73,70,67,71,2016
Hungary,72,69,68,71,2016
South Africa,67,71,72,71,2016
Finland,66,71,67,71,2016
Peru,73,69,70,70,2016
Northern Ireland,68,68,69,70,2016
Bulgaria,69,70,68,69,2016
Egypt,69,69,67,69,2016
China PR,69,67,67,69,2016
Canada,66,70,64,67,2016
New Zealand,67,64,66,66,2016
Bolivia,63,64,65,65,2016
India,61,56,57,58,2016
Spain,82,85,84,84,2016
Brazil,83,81,83,83,2016
Germany,78,84,80,83,2016
Argentina,88,81,78,82,2016
France,82,82,81,82,2016
Portugal,85,79,79,81,2016
Belgium,82,81,78,81,2016
England,82,79,80,81,2016
Italy,79,79,80,80,2016
Netherlands,82,78,77,79,2016
Uruguay,81,73,78,78,2016
Russia,78,77,77,78,2016
Switzerland,78,76,78,78,2016
Turkey,77,78,76,78,2016
Chile,80,76,75,77,2016
Poland,79,76,73,77,2016
Colombia,78,77,74,77,2016
Côte d'Ivoire,78,77,71,76,2016
Mexico,77,74,76,76,2016
Greece,76,72,76,76,2016
Denmark,74,77,75,76,2016
Sweden,80,73,73,75,2016
Ireland,76,74,75,75,2016
United States,74,75,73,75,2016
Austria,72,76,76,75,2016
Czech Republic,72,73,73,75,2016
Scotland,76,74,72,74,2016
Wales,74,74,73,74,2016
Paraguay,73,73,70,73,2016
Slovenia,70,73,72,73,2016
Norway,70,72,71,73,2016
Cameroon,69,69,77,73,2016
Ecuador,74,72,69,72,2016
Australia,71,72,69,72,2016
Romania,71,71,70,72,2016
Venezuela,74,71,67,71,2016
Hungary,72,69,68,71,2016
South Africa,67,71,72,71,2016
Northern Ireland,68,68,69,70,2016
Finland,66,71,67,70,2016
Bulgaria,69,70,68,69,2016
Egypt,69,69,67,69,2016
China PR,69,67,66,69,2016
Peru,65,68,67,68,2016
Canada,66,70,64,67,2016
Bolivia,63,65,64,65,2016
New Zealand,66,61,66,64,2016
India,61,56,57,58,2016
Spain,81,85,84,84,2016
Brazil,83,81,83,83,2016
Germany,78,84,80,83,2016
Argentina,88,81,78,82,2016
France,82,82,81,82,2016
Portugal,85,79,79,81,2016
England,82,79,80,81,2016
Belgium,80,82,77,81,2016
Italy,79,79,80,80,2016
Netherlands,81,78,77,79,2016
Uruguay,81,73,78,78,2016
Russia,78,77,77,78,2016
Turkey,77,78,76,78,2016
Switzerland,77,77,79,78,2016
Chile,80,76,75,77,2016
Poland,79,76,73,77,2016
Colombia,78,77,74,77,2016
Côte d'Ivoire,78,77,71,76,2016
Mexico,77,74,76,76,2016
Denmark,74,77,75,76,2016
Sweden,80,73,73,75,2016
Ireland,76,74,75,75,2016
Greece,76,72,76,75,2016
United States,74,75,73,75,2016
Austria,72,76,76,75,2016
Czech Republic,72,73,73,75,2016
Scotland,76,74,72,74,2016
Wales,74,74,73,74,2016
Paraguay,73,73,70,73,2016
Romania,72,73,73,73,2016
Slovenia,70,73,72,73,2016
Norway,70,72,71,73,2016
Cameroon,69,69,77,73,2016
Ecuador,74,72,69,72,2016
Venezuela,74,71,67,72,2016
Australia,71,72,69,72,2016
Hungary,72,69,68,71,2016
South Africa,67,71,72,71,2016
Northern Ireland,68,68,69,70,2016
Finland,66,71,67,70,2016
Bulgaria,69,70,68,69,2016
Egypt,69,69,67,69,2016
China PR,69,67,66,69,2016
Peru,65,68,67,68,2016
Canada,66,70,64,67,2016
Bolivia,63,65,64,65,2016
New Zealand,66,61,66,64,2016
India,61,56,57,58,2016
Spain,81,85,84,84,2016
Brazil,83,81,83,83,2016
Germany,78,84,80,83,2016
Argentina,88,81,78,82,2016
France,82,82,81,82,2016
Portugal,85,79,79,81,2016
England,82,79,80,81,2016
Belgium,80,82,77,81,2016
Italy,79,79,80,80,2016
Netherlands,81,78,77,79,2016
Uruguay,81,73,78,78,2016
Russia,78,77,77,78,2016
Turkey,77,78,76,78,2016
Switzerland,76,76,79,78,2016
Chile,80,76,75,77,2016
Colombia,78,77,74,77,2016
Poland,82,75,72,76,2016
Côte d'Ivoire,78,77,71,76,2016
Mexico,77,74,76,76,2016
Denmark,74,77,75,76,2016
Sweden,80,73,73,75,2016
Ireland,76,74,75,75,2016
Greece,76,72,76,75,2016
United States,74,75,73,75,2016
Austria,72,76,76,75,2016
Czech Republic,72,73,73,75,2016
Scotland,76,74,72,74,2016
Wales,74,74,73,74,2016
Paraguay,73,73,70,73,2016
Romania,72,73,73,73,2016
Slovenia,70,73,72,73,2016
Norway,70,72,71,73,2016
Cameroon,69,69,77,73,2016
Ecuador,74,72,69,72,2016
Venezuela,74,71,67,72,2016
Australia,71,72,69,72,2016
Hungary,73,68,69,71,2016
South Africa,67,71,72,71,2016
Northern Ireland,68,68,69,70,2016
Finland,66,71,67,70,2016
Bulgaria,69,70,68,69,2016
Egypt,69,69,67,69,2016
China PR,69,67,66,69,2016
Peru,65,68,67,68,2016
Canada,66,70,64,67,2016
Bolivia,63,65,64,65,2016
New Zealand,66,61,66,64,2016
India,61,56,57,58,2016
Spain,81,85,83,84,2016
Germany,78,83,81,84,2016
Brazil,84,80,83,83,2016
Argentina,88,81,77,82,2016
France,82,82,80,82,2016
Portugal,85,80,79,81,2016
England,81,79,80,81,2016
Belgium,80,82,77,81,2016
Italy,78,79,84,81,2016
Netherlands,81,78,77,79,2016
Uruguay,81,73,78,78,2016
Russia,78,77,77,78,2016
Switzerland,76,77,78,78,2016
Chile,80,77,75,77,2016
Turkey,77,78,76,77,2016
Mexico,76,79,76,77,2016
Poland,82,75,74,76,2016
Côte d'Ivoire,78,77,71,76,2016
Colombia,75,77,74,76,2016
Denmark,74,77,75,76,2016
Sweden,80,73,73,75,2016
Ireland,76,74,75,75,2016
Greece,76,72,76,75,2016
United States,74,75,73,75,2016
Austria,73,77,76,75,2016
Czech Republic,73,74,73,75,2016
Scotland,76,74,72,74,2016
Wales,74,74,73,74,2016
Paraguay,73,72,73,73,2016
Romania,71,72,73,73,2016
Slovenia,70,73,72,73,2016
Norway,70,72,71,73,2016
Cameroon,69,69,77,73,2016
Ecuador,74,72,69,72,2016
Australia,71,72,69,72,2016
Hungary,73,68,69,71,2016
Venezuela,72,71,67,71,2016
South Africa,67,71,72,71,2016
Northern Ireland,68,70,69,70,2016
Finland,66,71,67,70,2016
Bulgaria,69,70,68,69,2016
Egypt,69,69,67,69,2016
China PR,69,67,66,69,2016
Peru,67,68,67,68,2016
Canada,66,70,64,67,2016
Bolivia,63,63,66,65,2016
New Zealand,66,61,66,64,2016
India,61,56,57,58,2016
Spain,81,85,83,84,2016
Germany,79,83,82,84,2016
Brazil,84,80,83,83,2016
Argentina,88,80,77,82,2016
France,82,82,80,82,2016
Portugal,85,80,79,81,2016
England,81,79,80,81,2016
Belgium,80,82,77,81,2016
Italy,78,79,84,81,2016
Netherlands,81,78,77,79,2016
Uruguay,81,73,78,78,2016
Switzerland,76,77,78,78,2016
Chile,80,77,75,77,2016
Russia,78,76,77,77,2016
Turkey,77,78,76,77,2016
Mexico,76,79,76,77,2016
Poland,82,75,74,76,2016
Côte d'Ivoire,78,77,71,76,2016
Colombia,75,77,74,76,2016
Denmark,74,77,75,76,2016
Sweden,80,73,73,75,2016
Ireland,76,74,75,75,2016
Greece,76,72,76,75,2016
United States,74,75,73,75,2016
Austria,73,77,76,75,2016
Czech Republic,73,74,73,75,2016
Scotland,76,74,72,74,2016
Wales,74,74,73,74,2016
Paraguay,73,72,73,73,2016
Romania,71,72,73,73,2016
Slovenia,70,73,72,73,2016
Norway,70,72,71,73,2016
Cameroon,69,69,77,73,2016
Ecuador,74,72,69,72,2016
Australia,71,72,69,72,2016
Hungary,73,70,69,71,2016
Venezuela,72,71,67,71,2016
South Africa,67,71,72,71,2016
Northern Ireland,68,70,69,70,2016
Finland,66,71,67,70,2016
Bulgaria,69,70,68,69,2016
Egypt,69,69,67,69,2016
China PR,69,67,66,69,2016
Peru,67,68,67,68,2016
Canada,66,70,64,67,2016
Bolivia,63,63,66,65,2016
New Zealand,66,61,66,64,2016
India,61,56,57,58,2016
Spain,81,85,83,84,2016
Germany,79,83,82,84,2016
Brazil,84,80,83,83,2016
Argentina,88,80,77,82,2016
France,82,82,80,82,2016
Portugal,85,80,78,81,2016
England,81,79,80,81,2016
Belgium,80,82,77,81,2016
Italy,78,79,84,81,2016
Netherlands,81,78,77,79,2016
Uruguay,84,75,77,78,2016
Switzerland,76,77,78,78,2016
Chile,80,77,75,77,2016
Russia,78,76,77,77,2016
Turkey,77,78,76,77,2016
Mexico,76,79,76,77,2016
Poland,82,75,74,76,2016
Côte d'Ivoire,78,77,71,76,2016
Colombia,75,76,75,76,2016
Denmark,74,77,75,76,2016
Sweden,80,73,73,75,2016
Ireland,76,74,75,75,2016
Greece,76,72,76,75,2016
United States,74,75,73,75,2016
Austria,73,77,76,75,2016
Czech Republic,73,74,73,75,2016
Scotland,76,74,72,74,2016
Wales,74,74,73,74,2016
Paraguay,73,71,71,73,2016
Romania,71,72,73,73,2016
Slovenia,70,73,72,73,2016
Norway,70,72,71,73,2016
Cameroon,69,69,77,73,2016
Ecuador,74,72,69,72,2016
Australia,71,72,69,72,2016
Hungary,73,70,69,71,2016
Venezuela,72,72,70,71,2016
South Africa,67,71,72,71,2016
Northern Ireland,68,70,69,70,2016
Finland,66,71,67,70,2016
China PR,70,67,66,69,2016
Bulgaria,69,70,68,69,2016
Egypt,69,69,67,69,2016
Peru,69,67,67,68,2016
Canada,67,70,64,67,2016
Bolivia,61,65,65,65,2016
New Zealand,66,61,66,64,2016
India,61,56,57,58,2016
Spain,81,85,83,84,2016
Germany,79,83,82,84,2016
Brazil,84,80,83,83,2016
Argentina,88,80,77,82,2016
France,82,82,80,82,2016
Portugal,85,80,78,81,2016
England,81,79,80,81,2016
Belgium,80,82,77,81,2016
Italy,78,79,84,81,2016
Netherlands,81,78,77,79,2016
Uruguay,84,75,77,78,2016
Switzerland,76,77,78,78,2016
Chile,80,77,75,77,2016
Russia,78,76,77,77,2016
Turkey,77,78,76,77,2016
Mexico,76,79,76,77,2016
Poland,82,75,74,76,2016
Côte d'Ivoire,78,77,71,76,2016
Colombia,75,76,75,76,2016
Denmark,74,77,75,76,2016
Sweden,80,73,73,75,2016
Ireland,76,74,75,75,2016
Greece,76,72,76,75,2016
United States,74,75,73,75,2016
Austria,73,77,76,75,2016
Czech Republic,73,74,73,75,2016
Scotland,76,74,72,74,2016
Wales,74,74,73,74,2016
Paraguay,73,71,71,73,2016
Romania,71,72,73,73,2016
Slovenia,70,73,72,73,2016
Norway,70,72,71,73,2016
Cameroon,69,69,77,73,2016
Ecuador,74,72,69,72,2016
Australia,71,72,69,72,2016
Hungary,73,70,69,71,2016
Venezuela,72,72,70,71,2016
South Africa,67,71,72,71,2016
Northern Ireland,68,70,69,70,2016
Finland,66,71,67,70,2016
China PR,70,67,66,69,2016
Bulgaria,69,70,68,69,2016
Egypt,69,69,67,69,2016
Peru,69,67,67,68,2016
Canada,67,70,64,67,2016
Bolivia,61,65,65,65,2016
New Zealand,66,61,66,64,2016
India,61,56,57,58,2016
Spain,81,85,83,84,2016
Germany,79,83,82,84,2016
Brazil,84,80,83,83,2016
Argentina,88,80,77,82,2016
France,82,82,80,82,2016
Portugal,85,80,78,81,2016
England,81,79,80,81,2016
Belgium,80,82,77,81,2016
Italy,78,79,84,81,2016
Netherlands,81,78,77,79,2016
Uruguay,84,75,77,78,2016
Switzerland,76,77,78,78,2016
Chile,80,77,75,77,2016
Russia,78,76,77,77,2016
Turkey,77,78,76,77,2016
Mexico,76,79,76,77,2016
Poland,82,75,74,76,2016
Côte d'Ivoire,78,77,71,76,2016
Colombia,75,77,75,76,2016
Denmark,74,77,75,76,2016
Sweden,80,73,73,75,2016
Ireland,76,74,75,75,2016
Greece,76,72,76,75,2016
United States,74,75,73,75,2016
Austria,73,77,76,75,2016
Czech Republic,73,74,73,75,2016
Scotland,76,74,72,74,2016
Wales,74,74,73,74,2016
Paraguay,73,71,71,73,2016
Romania,71,72,73,73,2016
Slovenia,70,73,72,73,2016
Norway,70,72,71,73,2016
Cameroon,69,69,77,73,2016
Ecuador,74,72,69,72,2016
Australia,71,72,69,72,2016
Hungary,73,70,69,71,2016
Venezuela,72,72,70,71,2016
South Africa,67,71,72,71,2016
Northern Ireland,68,70,69,70,2016
Finland,66,71,67,70,2016
China PR,70,67,66,69,2016
Bulgaria,69,70,68,69,2016
Egypt,69,69,67,69,2016
Peru,69,67,67,68,2016
Canada,67,70,64,67,2016
Bolivia,61,65,65,65,2016
New Zealand,66,61,66,64,2016
India,61,56,57,58,2016
Spain,81,85,83,84,2016
Germany,79,83,82,84,2016
Brazil,84,80,83,83,2016
Argentina,88,80,77,82,2016
France,82,82,80,82,2016
Portugal,85,80,79,81,2016
England,81,79,80,81,2016
Belgium,80,82,77,81,2016
Italy,79,79,84,81,2016
Netherlands,81,78,77,79,2016
Uruguay,84,75,77,78,2016
Switzerland,76,77,78,78,2016
Chile,80,77,75,77,2016
Russia,78,76,77,77,2016
Turkey,77,78,76,77,2016
Mexico,76,79,76,77,2016
Poland,82,75,74,76,2016
Côte d'Ivoire,78,77,71,76,2016
Colombia,75,77,75,76,2016
Denmark,74,77,75,76,2016
Sweden,80,73,73,75,2016
Ireland,76,74,75,75,2016
Greece,76,72,76,75,2016
United States,74,75,73,75,2016
Austria,73,77,76,75,2016
Czech Republic,73,74,73,75,2016
Scotland,76,74,72,74,2016
Wales,74,74,73,74,2016
Paraguay,73,71,71,73,2016
Romania,71,72,73,73,2016
Slovenia,70,73,72,73,2016
Norway,70,72,71,73,2016
Cameroon,69,69,77,73,2016
Ecuador,74,72,69,72,2016
Australia,71,72,69,72,2016
Hungary,73,70,69,71,2016
Venezuela,72,72,70,71,2016
South Africa,67,71,72,71,2016
Northern Ireland,68,70,69,70,2016
Finland,66,71,67,70,2016
China PR,70,67,66,69,2016
Bulgaria,69,70,68,69,2016
Egypt,69,69,67,69,2016
Peru,69,66,67,68,2016
Canada,67,70,64,67,2016
Bolivia,61,65,65,65,2016
New Zealand,66,61,66,64,2016
India,61,56,57,58,2016
Spain,81,85,83,84,2016
Germany,79,83,82,84,2016
Brazil,84,80,83,83,2016
Argentina,88,80,77,82,2016
France,82,82,80,82,2016
Portugal,85,80,79,81,2016
England,81,79,80,81,2016
Belgium,80,82,77,81,2016
Italy,79,79,84,81,2016
Netherlands,81,78,77,79,2016
Uruguay,84,75,77,78,2016
Switzerland,76,77,78,78,2016
Chile,80,77,75,77,2016
Russia,78,76,77,77,2016
Turkey,77,78,76,77,2016
Mexico,76,79,76,77,2016
Poland,82,75,74,76,2016
Côte d'Ivoire,78,77,71,76,2016
Colombia,75,77,75,76,2016
Denmark,74,77,75,76,2016
Sweden,80,73,73,75,2016
Ireland,76,74,75,75,2016
Greece,76,72,76,75,2016
United States,74,75,73,75,2016
Austria,73,77,76,75,2016
Czech Republic,73,74,73,75,2016
Scotland,76,74,72,74,2016
Wales,74,74,73,74,2016
Paraguay,73,71,71,73,2016
Romania,71,72,73,73,2016
Slovenia,70,73,72,73,2016
Norway,70,72,71,73,2016
Cameroon,69,69,77,73,2016
Ecuador,74,72,69,72,2016
Australia,71,72,69,72,2016
Hungary,73,70,69,71,2016
Venezuela,72,72,70,71,2016
South Africa,67,71,72,71,2016
Northern Ireland,68,70,69,70,2016
Finland,66,71,67,70,2016
China PR,70,67,66,69,2016
Bulgaria,69,70,68,69,2016
Egypt,69,69,67,69,2016
Peru,69,66,67,68,2016
Canada,67,70,64,67,2016
Bolivia,61,65,65,65,2016
New Zealand,66,61,66,64,2016
India,61,56,57,58,2016
Spain,81,85,83,84,2016
Germany,79,83,82,84,2016
Brazil,84,80,83,83,2016
Argentina,88,80,77,82,2016
France,82,82,80,82,2016
Portugal,85,80,79,81,2016
England,81,79,80,81,2016
Belgium,80,82,77,81,2016
Italy,79,79,84,81,2016
Netherlands,81,78,77,79,2016
Uruguay,84,75,77,78,2016
Switzerland,76,77,78,78,2016
Chile,80,77,75,77,2016
Russia,78,76,77,77,2016
Turkey,77,78,76,77,2016
Mexico,76,79,76,77,2016
Poland,82,75,74,76,2016
Côte d'Ivoire,78,77,71,76,2016
Colombia,75,77,75,76,2016
Denmark,74,77,75,76,2016
Sweden,80,73,73,75,2016
Ireland,76,74,75,75,2016
Greece,76,72,76,75,2016
United States,74,75,73,75,2016
Austria,73,77,76,75,2016
Czech Republic,73,74,73,75,2016
Scotland,76,74,72,74,2016
Wales,74,74,73,74,2016
Paraguay,73,71,71,73,2016
Romania,71,72,73,73,2016
Slovenia,70,73,72,73,2016
Norway,70,72,71,73,2016
Cameroon,69,69,77,73,2016
Ecuador,74,72,69,72,2016
Australia,71,72,69,72,2016
Hungary,73,70,69,71,2016
Venezuela,72,72,70,71,2016
South Africa,67,71,72,71,2016
Northern Ireland,68,70,69,70,2016
Finland,66,71,67,70,2016
China PR,70,68,66,69,2016
Bulgaria,69,70,68,69,2016
Egypt,69,69,67,69,2016
Peru,69,66,67,68,2016
Canada,68,70,64,67,2016
Bolivia,61,65,65,65,2016
New Zealand,66,61,66,64,2016
India,61,56,57,58,2016
Spain,81,85,83,84,2016
Germany,79,83,82,84,2016
Brazil,84,80,83,83,2016
Argentina,88,80,77,82,2016
France,82,82,80,82,2016
Portugal,85,80,79,81,2016
England,81,79,80,81,2016
Belgium,80,82,77,81,2016
Italy,79,79,84,81,2016
Netherlands,81,78,77,79,2016
Uruguay,84,75,77,78,2016
Switzerland,76,77,78,78,2016
Chile,80,77,75,77,2016
Russia,78,76,77,77,2016
Turkey,77,78,76,77,2016
Mexico,76,79,76,77,2016
Poland,82,75,74,76,2016
Côte d'Ivoire,78,77,71,76,2016
Colombia,75,77,75,76,2016
Denmark,74,77,75,76,2016
Sweden,80,73,73,75,2016
Ireland,76,74,75,75,2016
Greece,76,72,76,75,2016
United States,74,75,73,75,2016
Austria,73,77,76,75,2016
Czech Republic,73,74,73,75,2016
Scotland,76,74,72,74,2016
Wales,74,74,73,74,2016
Paraguay,73,71,71,73,2016
Romania,71,72,73,73,2016
Slovenia,70,73,72,73,2016
Norway,70,72,71,73,2016
Cameroon,69,69,77,73,2016
Ecuador,74,72,69,72,2016
Australia,71,72,69,72,2016
Hungary,73,70,68,71,2016
Venezuela,72,72,70,71,2016
South Africa,67,71,72,71,2016
Northern Ireland,68,70,69,70,2016
Finland,66,71,67,70,2016
China PR,70,68,66,69,2016
Bulgaria,69,70,68,69,2016
Egypt,69,69,67,69,2016
Peru,69,66,67,68,2016
Canada,68,70,64,67,2016
Bolivia,61,65,65,65,2016
New Zealand,66,61,66,64,2016
India,61,56,57,58,2016
Spain,81,85,83,84,2016
Germany,79,83,82,84,2016
Brazil,84,80,83,83,2016
Argentina,88,80,77,82,2016
France,82,82,80,82,2016
Portugal,85,80,79,81,2016
Belgium,80,82,77,81,2016
Italy,79,79,84,81,2016
England,81,79,80,80,2016
Netherlands,81,78,77,79,2016
Uruguay,84,75,77,78,2016
Switzerland,76,77,78,78,2016
Chile,80,77,75,77,2016
Russia,78,76,77,77,2016
Turkey,77,78,76,77,2016
Mexico,76,79,76,77,2016
Poland,82,75,74,76,2016
Côte d'Ivoire,78,77,71,76,2016
Colombia,75,77,75,76,2016
Denmark,74,77,75,76,2016
Sweden,80,73,73,75,2016
Ireland,76,74,75,75,2016
Greece,76,72,76,75,2016
United States,74,75,73,75,2016
Austria,73,77,76,75,2016
Czech Republic,73,74,73,75,2016
Scotland,76,74,72,74,2016
Wales,74,74,73,74,2016
Ecuador,74,72,69,73,2016
Paraguay,73,71,71,73,2016
Romania,71,72,73,73,2016
Slovenia,70,73,72,73,2016
Norway,70,72,71,73,2016
Cameroon,69,69,77,73,2016
